sentId,sentence
d-mannose_1_3,"This product, with just 2 doses x's 2 days showed its effectiveness in the void (clearer urine)."
d-mannose_1_5,I recommend the powder form!
d-mannose_3_0,My daughter was born with Spina Bifida and has UTI's a lot.
d-mannose_3_1,I used this and the results were amazing.
d-mannose_3_2,The Urine cleared up and the other side effects went away.
d-mannose_3_3,Now we will use this also to maintain good health.
d-mannose_4_0,Continuous UTIs even taking preventative antibiotics.
d-mannose_4_1,Started D mannose only recently but already feeling the benefit.
damiana_1_0,I have been using Damiana for 4 months and it has improved my mental and physical stamina.
damiana_1_1,"Also, it has relieved my constipation."
damiana_1_2,I take Nature Answer Damiana capsules and I will keep taking them.
damiana_1_3,I am a 51 year old female and I am now have the energy to exercise daily and I no longer drag around at work.
damiana_1_4,"Most importantly, I no longer have hemorrhoids."
damiana_2_0,I have major depression.Damiana has helped me enjoy sexual activity again and has helped me with anxiety.
damiana_3_0,I used to drink damiana tea a lot when I was in my late teens and 20's for a general tonic effect.
damiana_3_1,I recently began taking it again for depression.
damiana_3_3,"I am currently on Wellbutrin, Lamictal and Seroquel (for several years) but continue to have mild to serious depression 4 or more days a week."
damiana_3_4,I've been drinking around 2-3 cups of damiana tea (around 2-3 tablespoons damiana leaf per cup) once a day over the last couple of weeks.
damiana_3_5,It actually seems to work.
damiana_3_6,"I feel better and am regaining a feeling of excitement in everyday life, which has been totally lacking for years."
damiana_3_8,I would say it's worth a try if you have recalcitrant depression which isn't responding to other medications.
damiana_3_9,"Currently it is not boosting my libido, but increased sexual interest is not something I'm actively seeking at this time."
damiana_4_0,I use Damiana to relieve irritability and edginess caused by PMS.
damiana_4_1,I only take it when I need it and it usually takes effect within 30-45 minutes.
damiana_4_2,My usual dose is 800 mg. in capsule form.
damiana_4_3,I do not feel changes in my libido like others have experienced.
damiana_4_4,I simply feel calm and normal.
dandelion_1_0,I use 550mg dandelion root to expel excess water from my body when getting ready for a photoshoot.
dandelion_1_1,"If you're already in good/great shape it can help show a little more definition by making your skin ever so more ""tighter""."
dandelion_1_2,"Of course, you're peeing nonstop but if you take it early in the day.. by night you are ready to go."
dandelion_1_3,Only suggested for those already LEAN and aesthetic.
dandelion_2_0,I have edema and need to make me urinate.
dandelion_3_1,Is part of my treatment for the candida diet.
dandelion_4_0,Liver enzymes were in the 200's in 2 weeks they are alt 77 and ast 123. alk phos normal.
dandelion_5_0,Used dandelion root tea during pregnancy to help with PUPPP as prescribed by multiple midwives.
dandelion_5_1,Worked well to help with symptoms.
danshen_2_0,I took Dan Shen pills after breakfast and dinner.
danshen_2_1,Each time within 15 minutes by bp went down as well as my pulse.
danshen_2_2,I felt calm with no side effects.
danshen_3_0,Use for congestive heart failure and angina works great for both plus for circulation is also great
deanol_1_0,"Gentle, helps improve focus and attention -- and sleep!"
deanol_4_0,I am using this supplement for my sons ADHD(he's 12 yrs.
deanol_4_2,So far we have seen only a slightly better attention span.
deanol_4_3,However we have also a new 'growth spurt???
deanol_5_0,The Psych had put my 11 yr old son on Focalin (15mg).
deanol_5_2,The next day I gave him 1/2 of the 15mg pill.
deanol_5_3,"This caused pressure in his head (8 on a 1-10 scale), pressure in his chest, weakness in his left arm and hand."
deanol_5_4,I immediately rushed him to the ER.
deanol_5_7,"The ER Doctor told me that had I given my son the full 15mg, he could have had a heart attack."
deanol_5_8,His EKG was normal and my son has no history of heart problems.
deanol_5_9,"With that said, I ordered Focus Attention from Nature's Sunshine and since I like him suffer from ADD I decided to try it first."
deanol_5_10,This Focus Attention has Deanol (DMAE) as part of the blend.
deanol_5_11,The first day I felt a pain (3) in the back of my head and base of my neck.
deanol_5_12,"However, I was able to clean and organized the house leaving it sparkling clean in 4hrs."
deanol_5_13,I had never been able to accomplish this.
deanol_5_14,"On day 2 I decided to take one pill again, hoping I would get used to it and have no headache."
deanol_5_15,"This time I experienced the headache once again, but accompanied by chest pressure (5)."
deanol_5_16,It does help me to concentrate tremendously.
deanol_5_18,Today I gave my son 1/8 of a smidgen.
deanol_5_19,"He immediately felt a bit of pressure in his head (1-2) his eyes ""open"" and a small headache (1-2)."
deanol_5_20,"However, he is happy to be able to concentrate."
deanol_5_21,No chest pressure at all.
deanol_5_22,I will lower his dose tomorrow to 1/16.
deer-velvet_1_0,I'm a new user of Deer Antler Velvet.
deer-velvet_1_1,I suffered a torn ligament in my shoulder that required surgery to repair.
deer-velvet_1_2,"The surgeon actually recommended PRP injections, or deer antler velvet, to my surprise."
deer-velvet_1_3,I decided to stack both the powder and the tincture from Antler Farms.
deer-velvet_1_4,"It's pricey for sure, more than $300 a month, but I don't intend to continue after it heals."
deer-velvet_1_6,Strength and mobility is increasing daily and pain/inflammation is decreasing.
deer-velvet_1_7,I think it does what it is supposed to do.
deer-velvet_2_0,I've been a fan of deer antler for years.
deer-velvet_2_1,I take a normal dose of 2-3grams of powder per day - antler farms capsules.
deer-velvet_2_2,"Under times of stress I use more, up to 6 grams a day."
deer-velvet_2_3,"It's expensive, yes, but I feel the benefits and could never live without it."
deer-velvet_3_0,I have been using deer velvet to treat my arthritis for over 10 years.
deer-velvet_3_1,"When I run out for a couple weeks, the pains increase and I lose mobility in my joints."
deer-velvet_3_2,"And when I continue with the supplement, the pain goes away and the mobility comes back."
deer-velvet_3_3,Additionally it helps my over feeling of well being (I suspect it balances my hormones).
deer-velvet_3_5,I use 1000 mg of day of antler farms velvet from New Zealand.
deer-velvet_4_0,Had knee surgery to repair completely ruptured patellar tendon.
deer-velvet_4_1,Within three months of surgery I was basically back to normal vs the 6 month to 1 year time table.
deer-velvet_4_2,Now working on running and jumping.
deer-velvet_4_3,Took the Deer Antler Velvet Spray from Now Sports.
deer-velvet_5_0,Had a shoulder injury that would not heal.
deer-velvet_5_1,After two weeks on IGFT350 I have almost full mobility and I feel great.
deer-velvet_5_2,Tons of energy without feeling antsy.
dendrobium_1_0,"four hours after ingestion of dendrobium officinale herb/flower and stem, I had a strong attack of arrhythmia, weakness which lasted for 4 hours."
dendrobium_2_3,So I quite taking the Rx and started taking Dendrobium.
dendrobium_2_4,I do not feel a energy surge but it has certainly helped my acid reflux.
dendrobium_4_1,I have been using Craze for several months now.
dendrobium_4_2,"The lawsuit, which was dismissed, was by a rival company."
dendrobium_4_3,Just make sure you don't overdose this supplement and you will be fine.
devils-claw_2_0,can no longer afford my ra meds
devils-claw_3_0,"use devils claw off and on over the years, sometimes in conjunction with feverfew  and or  kapperest(which is a combo from the naturapath)."
devils-claw_3_1,lot depends on the money flow at the time.
devils-claw_3_2,has helped when body gets too used to other stuff.
devils-claw_5_0,I could barely walk without taking Devil's Claw.
devils-claw_5_1,Now I have very little joint pain.
devils-club_1_0,I have used Devil's Club salve for bug bite relief and reducing muscle pain/cramps.
devils-club_1_2,I don't go hiking without it!
devils-club_2_0,it was very helpful for my hemroids
devils-club_3_0,I am a registered nurse and I am very leary of claims that salve can help arthritis pain.
devils-club_3_1,I am very pleased to announce the Devils club salve really works for me.
devils-club_3_2,"I apply it once a day to my affected area and within an hour, really relieves arthritis pain."
devils-club_3_4,I am currently growing my own Devils club to extract the oil myself.
devils-club_3_5,Do not place it on any areas that you may accidentally ingest any of the salve.
devils-club_3_6,"Over joints, I could not be more pleased with its effectiveness."
dha-docosahexaenoic-acid_2_0,I have difficulty with concentration/focus in the past few years.
dha-docosahexaenoic-acid_2_1,It seems in less than an hour to improve these areas to do my college homework.
dha-docosahexaenoic-acid_2_2,The improvement reaches an peak by two hours and declines back to previous state around four hours.
dha-docosahexaenoic-acid_2_3,My Mom took it and had had the same effect.
dha-docosahexaenoic-acid_3_0,Just started a few months ago and I usually take 2 with meals rather than 3 as suggested.
dha-docosahexaenoic-acid_3_1,I feel as though my thinking is a little sharper but might be the placebo effect.
dha-docosahexaenoic-acid_3_2,I will give it a few more months.
dhea_2_0,Was taking minescule to 5 grams or so of creatine as well as dhea re hair post below.
dhea_2_1,Both correlated with raised dht.
dhea_3_0,Before and after pictures of hair a must.
dhea_3_2,Would do differently vs. taking 12-15 and occasionally 25 mg daily ( gym).
dhea_3_3,"Instead low dose and as necessary and not daily or, as I've heard mentioned , cycling on and off."
dhea_3_4,Really caught me by surprise because did not think was genetically predisposed for hair loss ( dhea to testosterone to dht to disaster area.
dhea_3_5,Can't believe didn't even notice how bad it got up and back there ( crown of head)
dhea_5_0,"This is a DHEAS product, I am taking super DHEA 4"
diatomaceous-earth_1_0,This miracle discovery saved my family and pets from a airborn parasite that threaten us all.
diatomaceous-earth_1_1,"My chemical phobic furry friend had no problems with the powder dustings, she loved it right away after the first two treatments, thank you!"
diatomaceous-earth_1_2,"While using it for the treatment and we'll maintaning our chickens as well, discovered it made the best facial scrub."
diatomaceous-earth_1_3,The other wounderful discoveries we have made using this product has changed our world.
diatomaceous-earth_1_4,We are still being amazed  on how much we needed this in our lives everyday.
dibencozide_1_0,after using this ive got form a skinny under weight 27 year old to an average weight for someone my age
dibencozide_3_0,Adenosylcobalamin (dibencozide) relieved the severe fagtigue of CFS/FMS.
dibencozide_3_1,It relieved the muscle pain and spasms in combination with methylcobalamin.
dibencozide_3_2,It allowed my muscles to heal and grow normally with exercise.
dibencozide_3_5,It improved my neurology functioning.
dibencozide_3_6,It had it's own very separate effect from methylb12.
dibencozide_3_7,L-carnitine fumarate increased it's energy generation effectivenss tremendously.
dibencozide_3_8,All in all it was one of the crital factors in my full recovery from FMS/CFS.
dibencozide_3_9,Methylfolate (metafolin) was also necessary for it to work to it's fullest.
dibencozide_3_10,Taken as a sublingual under the upper lip for 45-120 minutes maximizes absorbtion to 15-25%.
dibencozide_3_11,Taken orally at most 1% absorbs.
dibencozide_3_12,There are tremendous brand differences.
dibencozide_3_13,Some will work very well and some not at all.
diindolylmethane_1_0,I tried this for hormonal acnes.
diindolylmethane_1_1,I had tight chest and shortness of breath after my 1st intake of 200mg as directed.
diindolylmethane_1_3,Do not want to try again.
diindolylmethane_2_0,My doctor insisted that I take 300mg of DIm to supplement my bioidentical hormone therapy.
diindolylmethane_2_1,After 3 weeks I have a rash on my side that is ugly and very itchy.
diindolylmethane_2_2,After reading a few reviews here I am beginning to think the DIM is causing the rash.
diindolylmethane_2_3,Thank you all for your remarks.
diindolylmethane_3_0,Do not take DIM if you have LUPUS.
diindolylmethane_3_1,"DIM, (even asking prescribing physician about it) has immune boosting qualities to it and I ended up in the ER and then in the ICU."
diindolylmethane_3_2,I had severe inflammation and it threw me right into Lupus flare and I've been on steroids for over a month because of it.
diindolylmethane_3_3,Never have I ever had a Lupus flare this bad in my 10 years of being diagnosed.
diindolylmethane_3_7,Docs thought I had sepsis.
diindolylmethane_3_8,"Then, after all my X-rays, ct scans, blood work, steroids, and fluids, they determined it was a major Lupus flare caused by the DIM."
diindolylmethane_3_9,I'm sure it works fabulously for people w/out Lupus.
diindolylmethane_5_0,My mother and sister both took Diim 100mg once a day and it raised their blood pressure.
diindolylmethane_5_2,"They did see weight lose, nice skin but with the blood pressure dangers, I suggests monitoring your BP while using."
dill_1_0,For year dill has been used to treat high cholesterol.
dill_1_2,50% reduction in 2 months!
dimethylamylamine_3_1,I have been able to focus and study nonstop for days.
dimethylamylamine_3_2,I also don't feel the wasted tired feeling that adderall gives me.
dimethylamylamine_3_3,This is better than the ADHD treatments I've tried so far.
dimethylamylamine_4_0,"I have taken, Adderal, Wellbutrin, prescribed to me by a doctor, with severl side effects for my ADHD."
dimethylamylamine_4_2,depends on how my behavior is.
dimethylglycine_1_0,"I am 65; I used to come home after errands in town, etc,and I would be done for the day."
dimethylglycine_1_1,"I had read about dmg and just added it to my vitamin/supplement regimen, and forgot about it."
dimethylglycine_1_2,"But then I noticed, after a few days, that I just had more energy."
dimethylglycine_1_4,"In fact, I work hard and don't tend to feel really tired, like I used to after working a while."
dimethylglycine_1_5,"I now exercise, and work in the garden or whatever and really don't feel worn out at any time."
dimethylglycine_1_6,"It's truly amazing, I'm just taking NOW dmg 125 mg once/day; I wonder what would happen if I took more?"
dimethylglycine_1_7,"anyway, I just recommended this to my 88-yr old mother, and she had me order her some."
dimethylglycine_2_0,"I have more energy, more positive mental processes and a significant improvement in my attention span."
dimethylglycine_3_0,seems to help with focus
dimethylglycine_4_0,I used to have much fatigue in the daytime and would fall asleep in discussions etc.
dimethylglycine_4_1,I have more energy and less tiredness now.
dimethylglycine_4_2,The brand I used is not listed in your list...NOW vitamins.
dimethylglycine_5_0,"I'm fortunate I have no major health issues before taking this supplement, and I want to keep it that way in the future."
dimethylglycine_5_1,"I also take bio-identical hormones, and a probiotic every day."
dimethylglycine_5_2,I have excellent quality of life!
diosmin_5_0,I have MS and it reduced the swelling in my ankles considerably
dmso-dimethylsulfoxide_1_0,Had great results with 70% DMSO cream.
dmso-dimethylsulfoxide_1_1,Proceeded to use 100% dmso and black seed oil on my wrists.
dmso-dimethylsulfoxide_1_2,Arthritis pain in ALL my joints was greatly reduced.
dmso-dimethylsulfoxide_1_3,Got mild headache on a couple of days
dmso-dimethylsulfoxide_2_0,I have arthitis in both knees.
dmso-dimethylsulfoxide_3_1,"It was not ""USDA approved"" etc."
dmso-dimethylsulfoxide_3_2,I got some 15 years ago because I had pain from congenital spinal degeneration and of course an increase in severe  back pain.
dmso-dimethylsulfoxide_3_3,"To me, it didn't really work for that (difficult to apply)."
dmso-dimethylsulfoxide_3_4,"But now I have severe arthritic joint pain too and it definitely works for that, for me."
dmso-dimethylsulfoxide_3_5,"For the back, one thing that really worked and got me mobile was acupuncture."
dmso-dimethylsulfoxide_3_6,"That was last year (2015) and it was really amazing after just wanting to lay down all the time, in pain."
dmso-dimethylsulfoxide_3_8,To stay that way is critical at my age.
dmso-dimethylsulfoxide_3_9,But the DMSO I would use externally and it goes thru the skin.
dmso-dimethylsulfoxide_3_11,"If it's a good enough topical for a horse, I'm fine with it."
dmso-dimethylsulfoxide_3_12,I wouldn't ever take DMSO internally though unless prescribed.
dmso-dimethylsulfoxide_3_13,One other ointment that works ok is Tri-Flora by Boericke
dmso-dimethylsulfoxide_4_0,I have been diagnosed with arthritis of the wrist and hand that has caused me much pain.
dmso-dimethylsulfoxide_4_3,The maximum pain relief came after 4 days of treatment.
dmso-dimethylsulfoxide_4_4,"Some people may think DMSO is like a placebo, the pain relief is only in the mind."
dmso-dimethylsulfoxide_4_5,For myself I have proved this to not be the case.
dmso-dimethylsulfoxide_4_6,When I have forgotten to use DMSO in the morning or evening the pain surprisingly comes back and then I remember I didn't use DMSO.
dmso-dimethylsulfoxide_4_7,This product is so cheap that for $10 to $15 I can treat my pain for a year.
dmso-dimethylsulfoxide_4_8,I now use it any time I have a pain and it seems to work.
dmso-dimethylsulfoxide_4_9,I know this is hard to believe.
dmso-dimethylsulfoxide_4_10,Side effects:  There might be a slight burning sensation when I apply it.
dmso-dimethylsulfoxide_4_11,On a scale of 1 to 10 it is a 1 or less.
dmso-dimethylsulfoxide_4_12,I have noticed a slight drying of the skin sometimes in the area of application.
dmso-dimethylsulfoxide_4_13,Again something I wouldn't even notice if I wasn't applying it twice a day.
dmso-dimethylsulfoxide_4_14,"I have a few times noticed a garlic taste, but this rare for me."
dmso-dimethylsulfoxide_4_15,I have been using this product as described for over 6 months and recommend it to others.
dmso-dimethylsulfoxide_4_16,What I can't understand is why so many people comment positively on DMSO here on WebMD.
dmso-dimethylsulfoxide_4_17,No one has anything to gain from promoting this product.
dmso-dimethylsulfoxide_4_18,No one can make much money on this since it is only an industrial solvent.
dmso-dimethylsulfoxide_4_19,I have read many unbelievable stories about this and watched the 60 Minutes segment on YouTube.
dmso-dimethylsulfoxide_4_21,"Since no one can make any money on this, there is not money to do controlled clinical trials."
dmso-dimethylsulfoxide_4_23,"My doctor said if it helps, use it."
dmso-dimethylsulfoxide_5_0,I feel like it has given me a more normal life again.
dmso-dimethylsulfoxide_5_1,Keeping my fingers crossed that it continues to work.
dolomite_1_0,Must take vitamin D or else calcium will not be absorbed.
dolomite_1_1,"Also, must drink extra glass of water as calcium uses a lot of water to be converted by the body."
dolomite_1_2,I take at night so I will slightly dehydrate and not have to get up in the middle of the night to urinate.
dolomite_2_0,muscle aches/shoulder pain after working
dolomite_4_0,Used for night leg cramps.
dong-quai_1_0,When I first heard of Dong Quai I was 10 years into Night Sweats.
dong-quai_1_1,At first it seemed to help some but over time it became apparent is was not making the diff I needed.
dong-quai_1_2,"Huge negative, it made me VERY gassy!"
dong-quai_2_0,I have read so much on this herb that I decided to try it.
dong-quai_2_1,I can tell you from experience that its working for me.
dong-quai_2_2,Only after 4 days I can tell the differnce.
dong-quai_2_3,Although not 100% gone they are greatly reduced..
dong-quai_3_0,My hot flashes are gone.
dong-quai_3_1,"I notice when I forget to take my pill,I get hot flash."
dong-quai_3_2,Im so convinced it works.
dong-quai_4_0,I have been using Dong Quai for about six weeks now and my hot flashes are completely gone!
dong-quai_4_1,I know it's the dong quai because I ran out and the hot flashes started again.
dong-quai_4_2,I was taking two with each meal but am cutting down to one with meals to.
dong-quai_4_3,See if that works too.
dong-quai_5_0,This has greatly reduced my hot flashes -- both frequency and intensity -- though not eliminated them completely.
dong-quai_5_1,I'm currently taking Nature's Way 565 mg 2x a day.
dong-quai_5_2,I have taken other brands and one of them didn't work at all but I don't remember what brand that was.
dong-quai_5_3,I haven't noticed any side effects.
dragons-blood_1_0,WebMD saying that it's not safe for the skin is SO messed up!
dragons-blood_2_0,"I had a stubborn yeast infection in my toe that responded very, very well to Dragon's Blood."
dragons-blood_2_1,It also has some pain relieving properties when used topically.
dragons-blood_2_2,It was recommended by a friend that visits Panama often...I was skeptical but glad I tried it!
dragons-blood_4_1,"A day later I took another treatment, but I don't think it was necessary; the first treatment worked."
dragons-blood_4_2,"Same problem three months later, but I took one treatment after only a few days."
dragons-blood_5_0,Used dragon's blood topically for shingles with the result of decreased pain and quick healing of the lesions.
dragons-blood_5_1,I would recommend dragon's blood drops to anyone!
eastern-red-cedar_1_0,I have been suffering from Non-Allergic Rhinitis.
eastern-red-cedar_1_1,Last year I suffered for 9 months over the fall and winter.
eastern-red-cedar_1_2,"This year it started again, and again I tried everything I could find."
eastern-red-cedar_1_3,"I used over the counter nose spray at night, every night, so that I could sleep because last year was horrible."
eastern-red-cedar_1_4,I found Red Cedars in the campground we are in now and saw that Native Americans inhaled the smoke from the leaves for Respiratory conditions.
eastern-red-cedar_1_5,"I did this, and also smudged the camper with it Within 24 hours I was releived of my condition."
ecdysterone_1_0,"Years ago, before the Balco Labs fallout, I took a product called Z-Mass PM."
ecdysterone_1_1,It was simply two tablets at bedtime.
ecdysterone_1_3,"When I began taking it, I was looking for the ZMA not necessarily the ecdysterone."
ecdysterone_1_4,It made an immediate difference!
ecdysterone_1_5,"As a 50 year old Master Swimmer, I still use ecdysterone just not Z-Mass PM."
ecdysterone_1_6,"The only side effect I have ever felt is going too long without some sort of exhaustive workout, weights,run,swim, etc."
ecdysterone_1_7,I have found myself becoming a bit agitated and jittery.
ecdysterone_1_9,"My muscles have not gotten that much bigger from years of ecdysterone use but, I will tell you they have gotten much stronger!"
ecdysterone_1_10,"The swimming has made them long and lean and the ecdysterone helps with strength, endurance and recovery."
ecdysterone_1_11,I don't understand the stigma behind ecdysterone other than being a main ingredient in some of Victor Conte's products.
ecdysterone_1_13,I know they all still suspect I'm taking more than just ecdysterone and ZMA but I'm not.
echinacea_1_0,I've taken echinacea for years until the last 6 months.
echinacea_1_1,"I always relied on it when I was feeling low energy possibly getting sick, whether it was in a capsule or tea."
echinacea_1_2,"HOWEVER, after not taking it for 6-8 months, I became HIGHLY allergic."
echinacea_1_3,"Once digested, my insides wanted to explode and I would start vomitting stomach acid."
echinacea_1_5,I now avoid anything with it.
echinacea_1_6,It happened more than once so I was able to pinpoint what caused it.
echinacea_2_0,Our family uses Blackmores echinacea liquid at first signs of colds and it works for us.
echinacea_2_1,Our daughter used to have  ear infections after every cold as a 4- 5 year old.
echinacea_2_2,Someone recommended echinacea and she never had another ear infection when echinacea was used at the first signs of a cold.
echinacea_4_0,I USUSALLY TAKE THIS EVERY COLD AND FLUE SEASON SINCE I WORK IN THE IMMEDIATE CARE FIELD.
echinacea_4_1,I FORGOT TO ADD THIS IN JANUARY AND I GOT SICK THE END OF JANUARY AND HAD THE URI SYMPTOMS FOR OVER 2 WEEKS.
echinacea_5_0,It speeds up the infection and gets microbes out of the system thorough sputum.
echinacea_5_1,It is different in its working opposed to Vitamin C which suppress the infection.
edta_1_0,Caused intense gut cramping with continuous non stopping almost unbearable pain.
edta_3_0,MY kidneys have been hurting a lot and have a lot of pain and have gotten lightheadness and my heart has been racing.
edta_4_0,The descriptive article starts by saying that EDTA is a prescription medication which appears to be wrong since I obtained it from a vitamin shop.
edta_4_1,I noticed an immediate improvement in energy and alertness.
edta_4_2,My mild gout symtoms appear to have gone.
edta_4_4,I feel less muscle pain and more strength.
edta_5_0,I feel stronger and I feel like I breath better.
edta_5_1,I do not have breathing problems.
elderberry_1_0,Just tried Elderberry for the first time yesterday.
elderberry_1_1,"Came down with severe cold symptoms two days ago, which turned into flu symptoms yesterday morning."
elderberry_1_2,"Body aches, congestion, fever, chills."
elderberry_1_4,All flu symptoms are gone today with mild nasal congestion remaining.
elderberry_1_5,"This type of flu normally turns into respiratory infection for me, so I am very happy!"
elderberry_1_6,"In addition, I drank ginger tea, made chicken with LOTS of garlic and made pineapple ginger juice in the morning."
elderberry_1_7,I'm sure a combination of all of these helped.
elderberry_4_0,"helps to ward off onset of cold, flu or sore throat"
elderflower_1_0,I took a glass of diluted cordial to bed on two occasions.
elderflower_1_1,"I realised after doing it twice, on non-consecutive nights, that it was keeping me awake."
elderflower_1_2,"I was constantly fidgety, my thoughts were racing, stomach pain and I was weak, dizzy and almost fainted when I stood up."
elderflower_1_3,Use this drink at night with care!
elderflower_2_0,it workes sometimes and then again it won't work
elderflower_3_0,This was the only liquid available at two functions.
elderflower_3_1,Afterwards I suffered the most excrutiating sore tummy and pain followed by sickness.
elderflower_3_2,I can only assume it was this as I never drink elderflower cordial.
elderflower_3_3,It should be taken advisedly.
elecampane_1_0,"I was able to reduce the symptoms of my Lyme and co-infections within 2 months, using Enula (mainly Elecampane)"
elecampane_2_0,used during asthma episode- found it quite beneficial in making breathing easier.
elecampane_4_1,Had suffered with diarrea for 2 weeks.
elecampane_4_2,The antibiotics prescribed for me worsened the condition and I even had a pretty severe reaction to one of them.
elecampane_4_3,3 days on Elecampane and the bowels returned to normal.
elecampane_5_0,I have COPD and it helps to relieve the symptoms.
elecampane_5_1,Using this regularly helps minimize my cough.
elemi_1_1,Saw crazy visuals at about 8 drops orally and waves of euphoria.
elemi_1_2,Used in conjunction with clove oil.
ellagic-acid_1_0,i reasearch about allagic acid
ellagic-acid_2_0,Beware of taking if you have an allergy to blackberries as it may contain this ingredient in some form.
ellagic-acid_2_1,I ended up with a rash and serious allergic reaction almost ending up in the ER.
ellagic-acid_2_2,Do the research to know what is in your supplement.
ellagic-acid_2_3,"Unfortunately, it was combined with Reservatrol which has been wonderful for bp, cholesterol, energy, pain and inflammation relief (I have fibromyalgia and lupus)."
emu-oil_1_1,I will be trying it on everything and buy a ltr of it next time in market or Kangaroo Island Sth Australia
emu-oil_2_0,Absolute must have for arthritis and peripheral neuropathy!
emu-oil_2_1,And now I am finding more uses every day!
emu-oil_2_2,Don't leave home without it!
emu-oil_3_0,"It has worked, but only for a short period."
emu-oil_4_0,Was told about this product from a friend.
emu-oil_4_1,She said it worked for her arthritis and joint pain and swelling.I had a previous injury years ago and it flares up.
emu-oil_4_2,Now that I am older I have more pain and was recently diagnosed with degenerative disease.
emu-oil_4_3,Bought some of the Blue Emu cream and already I can feel a difference in my neck and back.
emu-oil_4_4,I have used all types of muscle creams and patches.They worked somewhat but never like the blue emu.This product works wonders!
emu-oil_5_0,"Using Blu Emu, for a pulled oblique muscle, and also for herniated disc."
emu-oil_5_1,After using just 3 days (twice a day) I can tell a huge difference in the pain levels I was initially having.
english-ivy_2_2,The next morning I felt even better and cancelled my doc appt.
english-ivy_2_4,I am so impressed with this product and will continue to take it as a maintenance product.
english-ivy_3_0,I used over the counter prices that included English Ivy extract throughout February 2018 for coughing and mucus.
english-ivy_3_1,Used syrup and powder forms.
english-ivy_3_2,Tested positive for Flu Type B after using for several days.
english-ivy_3_4,Cough continued and rash intensified.
english-ivy_3_5,"Rash proceeded to blister in patches, esp on right forearm."
english-ivy_3_6,Doctor diagnosed rash as contact dermatitis.
english-ivy_3_7,The English Ivy may have caused it.
english-ivy_3_8,I stopped using the products with English Ivy and treated rashes like poison ivy.
english-ivy_3_10,Called the product line and was advised to stop using the products with English Ivy.
english-ivy_3_11,I also have experienced shortness of breath.
english-ivy_3_12,I am curious now and seeking more information on the oral use of products containing English Ivy.
english-ivy_3_13,I am curious if others experienced rashes or side effects while using products that include English Ivy.
english-ivy_4_0,"I gave my 7 year old cough syrup containing English ivy leaf, and it upset his stomach, and created a much more mucus moving cough."
english-ivy_4_1,We haven't figured out yet if it is helping or not with his upper respiratory infection symptoms.
english-ivy_4_2,I am rating this treatment based on the side effect of vomiting.
english-ivy_5_0,Had an extremely congested cough with heavy mucous that would not dislodge.
english-ivy_5_1,Tried some of this new stuff at a pharmacist's suggestion.
english-ivy_5_3,Tasted like awful(the wife also tried it and almost vomited) and it gave me an irregular heartbeat during the night.
english-ivy_5_5,Flushed the rest of the bottle.
epa-eicosapentaenoic-acid_2_0,"This is a great multi-vitamin,maybe the best because it gave me energy and a feeling of wellness."
epa-eicosapentaenoic-acid_2_1,I have type 1 diabetes for over 34 years and this M/V helped me tremendously with the complications.I recommend Alpha Base Foundation to everyone
ephedra_2_0,I used a product that contained ephedra and a combination a vitamins and minerals.
ephedra_2_1,This was the only product that ever worked for me.
ephedra_2_2,I really didn't have any side effects.
ephedra_2_3,My doctor told me i was in fantastic shape.
ephedra_2_4,BP was great all labs were great and i had minimal body fat.
ephedra_2_5,Now i weigh more than i ever had before my blood is high in bad cholesterol my BP fluctuates and Im Diabetic!
ephedra_2_7,Or maybe since it worked for weightloss thats the whole reason for taking it away!
ephedra_2_8,Since the ban there have been numerous companies promoting their weightloss pill.
ephedra_2_10,The one thing they all had in common before has been removed.
ephedra_4_0,Ephedrine (in conjunction with caffeine) is probably the only OTC substance that has ANY effect on weight loss.
ephedra_4_1,It works as a strong appetite suppressant and energy booster while dieting.
ephedra_4_2,When dieting I use 25mg E and 200mg C 2-3x/day.
ephedra_4_3,"Do not buy the herbal form in ""weight loss"" pills (if they even still sell them)... the dosing and quality is suspect."
ephedra_4_4,Use asthma tablets like Bronkiad or Primatine (which contain actual ephedrine in precise dosages) plus caffeine pills or coffee.
ephedra_4_6,"For most, however, it's the only thing worth spending your money on...  everything else out there is a scam to one extent or another."
ephedra_5_0,I have taken different products containing ephedra; I like Black Widow the best.
ephedra_5_2,"Recently, I have been getting side effects like dizziness and nausea that I've never had before (from a product containing (27mg ephedra)."
ephedra_5_3,I first started taking ephedra in my 20's.
ephedra_5_4,"I'm in my 30's now so, I'm thinking its my age."
ephedra_5_5,"Be careful as you age...I use half the recommended dose now, and I can't even have caffeine with it like I used to."
ephedra_5_6,I lose weight every time I h try ephedra.
ephedra_5_7,I've worked out and dieted (example: I cut cheese and butter from my diet)for months with no result.
ephedra_5_8,I'm glad this product exists!
equol_1_0,was given this by my OB/GYN for hot flashes and other menopausal symptoms and it worked great for me.
equol_1_1,all symptoms decreased or were of very little bother after taking the pills.
equol_1_2,unfortunately i was part of a study and the pills don't seem to be available to the general public.
equol_2_0,"Greatly reduced hot flashes and improved sleep,  10 mg/day."
ergot_1_0,I was prescribed this product by my neurologist for my migraine.
ergot_1_1,"I would frequently get what he called migraine status, a majority bad migraine that would last for weeks."
ergot_1_2,I have two separate forms I take.
ergot_1_3,I take three injections a day for three days every few months.
