ingredient,first_sentences
copaiba-balsam,Copaiba balsam is safe for most people in normal food amounts.
copper,Copper is  LIKELY SAFE  when taken by mouth in amounts no greater than 10 mg daily.
coral,Coral is  LIKELY SAFE  for most people when used in surgery as a bone substitute.
coral-root,There isn't enough information to know if coral root is safe for use as a medicine or what the possible side effects might be.
cordyceps,"Cordyceps is  POSSIBLY SAFE  for most people when taken appropriately by mouth, short-term."
coriander,Coriander is  LIKELY SAFE  in food amounts and  POSSIBLY SAFE  for most people when taken by mouth in appropriate medicinal amounts.
coriolus-mushroom,Coriolus mushroom is  LIKELY SAFE  for most people when taken by mouth appropriately.
corkwood-tree,Corkwood tree is  UNSAFE  when taken by  mouth.
corn-cockle,Corn cockle is  UNSAFE  to take by  mouth.
corn-poppy,Dried corn poppy flowers are  POSSIBLY SAFE  for most adults to take by  mouth  as a medicine.
corn-silk,Corn silk seems to be safe for most people.
cornflower,Cornflower is  LIKELY SAFE  when used to color herbal teas.
corydalis,It is not known if using corydalis is safe.
costus,Costus oil is  LIKELY SAFE  for most people when taken by  mouth  in amounts found in foods.
cotton,Cotton is  POSSIBLY SAFE  for most people when taken by  mouth  as a medicine or when cotton root bark preparations are taken in amounts found in foods.
couch-grass,It isn't known if couch grass is safe or what the possible side effects might be.
cowhage,"A powdered preparation of cowhage seed, called Zandopa (formerly HP-200; Zandu Pharmaceuticals), is  POSSIBLY SAFE  for most people when taken by mouth for up to 20 weeks."
cowslip,"Cowslip is  POSSIBLY SAFE  for most people when taken by mouth in small amounts as part of combination products containing gentian root, European elder flower, verbena, and sorrel (SinuComp, Sinupret, Sinupret +) or when taken as part of a combination product containing cowslip and thyme (Bronchipret)."
cramp-bark,There isn't enough information to know if cramp bark is safe.
cranberry,Cranberry is  LIKELY SAFE  for most people when taken by mouth appropriately.
creatine,Creatine  is  LIKELY SAFE  when taken by mouth at doses up to 25 grams daily for up to 14 days.
croton-seeds,Croton seeds are  UNSAFE  when taken by  mouth  or put on the skin.
cubebs,"Cubebs seems to be safe for most people when taken by  mouth , but the possible side effects are not known."
cudweed,It is not known if cudweed is safe or what the potential side effects might be.
cumin,Cumin is  LIKELY SAFE  when taken by  mouth  in food amounts and  POSSIBLY SAFE  when taken by  mouth.
cup-plant,It is not known if cup plant is safe or what the possible side effects might be.
cupmoss,It is not known if cupmoss is safe or what the possible side effects might be.
cyclamen,Cyclamen is  UNSAFE  for use.
cypress,It is not known if cypress is safe.
cypress-spurge,Cypress spurge is  UNSAFE.
daffodil,Daffodil is  UNSAFE  for use.
damiana,Damiana is  LIKELY SAFE  when taken by  mouth  in amounts commonly found in foods.
dandelion,Dandelion is  LIKELY SAFE  for most people when used in the amounts commonly found in food.
danshen,Danshen is  POSSIBLY SAFE  when taken by mouth by most people.
date-palm,Dates are  LIKELY SAFE  for most people when taken in food amounts.
datura-wrightii,Datura wrightii is  LIKELY UNSAFE  when taken by  mouth.
deanol,Deanol is  POSSIBLY SAFE  for most people when taken by mouth or applied to the skin.
deer-velvet,Deer velvet is  POSSIBLY SAFE  when taken by mouth for up to 12 weeks.
deertongue,Deertongue is  UNSAFE  for use.
delphinium,Delphinium is  UNSAFE  for use as a medicine.
dendrobium,There isn't enough information to know if dendrobium is safe or what side effects it might cause.
desert-parsley,There isn’t enough reliable information to know whether desert parsley is safe.
devils-claw,Devil's claw is  POSSIBLY SAFE  for most adults when taken by mouth in appropriate doses for up to a year.
devils-club,There isn't enough information to know if devil's club is safe or what the possible side effects might be.
dha-docosahexaenoic-acid,DHA is  LIKELY SAFE  for most people when taken by mouth.
dhea,"DHEA is  POSSIBLY SAFE  when taken by mouth, applied to the skin, and used inside the vagina appropriately."
diacylglycerol,Diacylglycerol appears to be safe for most people.
diatomaceous-earth,There isn't enough reliable information available to know if diatomaceous earth is safe or what the side effects might be.
dibencozide,Dibencozide seems to be safe for most people.
diindolylmethane,Diindolylmethane is  LIKELY SAFE  when consumed in the small amounts found in foods.
diiodothyronine,There isn't enough information to know if diiodothyronine is safe.
dill,Dill is  LIKELY SAFE  when consumed as a food.
dimethylamylamine,Dimethylamylamine is  LIKELY UNSAFE  when taken by mouth.
dimethylglycine,"Dimethylglycine is  POSSIBLY SAFE  when used short-term, for up to 28 days."
diosmin,Diosmin is safe for most people when used short-term for up to 6 months.
divi-divi,There isn't enough information to know if divi-divi is safe or what the possible side effects might be.
d-mannose,D-mannose is  POSSIBLY SAFE  for most adults when taken by mouth.
dmso-dimethylsulfoxide,DMSO is  LIKELY SAFE  when used as a prescription medication.
dodder,There isn't enough information available to know if dodder is safe.
dolomite,Dolomite is  POSSIBLY UNSAFE  for most adults when taken by  mouth.
dong-quai,Dong quai is  POSSIBLY SAFE  for adults when taken by mouth or when occasionally applied to the skin as a cream.
dragons-blood,Dragon's blood appears to be safe for most adults when taken by  mouth.
duckweed,There isn't enough information available to know if duckweed is safe or what the possible side effects might be.
durian,It is not known if durian is safe.
dusty-miller,Dusty miller can be  UNSAFE  for people to use.
dwarf-elder,Using dwarf elder in large amounts is  UNSAFE.
dwarf-pine-needle,Dwarf pine needle oil is safe for most people when used in amounts typically found in foods.
dyers-broom,Dyer's broom might be  UNSAFE  when taken by  mouth.
eastern-hemlock,It is not known if eastern hemlock is safe or what the possible side effects might be.
eastern-red-cedar,There is not enough information to know if Eastern red cedar is safe.
ecdysterone,There isn't enough reliable information available about ecdysterone to know if it is safe.
echinacea,Echinacea is  LIKELY SAFE  for most people when taken by mouth in the short-term.
edta,"EDTA is safe when used as a prescription medicine, as eye drops, and in small amounts as a preservative in foods."
elderberry,Elderberry fruit extract is  POSSIBLY SAFE  when taken by mouth for up to 12 weeks.
elderflower,Elderflower is  LIKELY SAFE  when used in amounts found in foods.
elecampane,Elecampane is  POSSIBLY SAFE  for most adults when taken by mouth in usual medicinal amounts.
elemi,Elemi is safe for most people in the amounts found in foods.
ellagic-acid,"Ellagic acid is  POSSIBLY SAFE  when taken by mouth or applied to the skin, short-term."
elm-bark,There isn’t enough information available to know if elm bark is safe.
emu-oil,Emu oil is possibly safe for most people when applied to the skin in appropriate amounts for up to 6 weeks.
english-adders-tongue,There isn't enough information to know whether English adder's tongue is safe or what the side effects might be.
english-horsemint,There isn't enough information available to know if English horsemint is safe or what the possible side effects might be.
english-ivy,Cough syrup  (Prospan; Panoto-s; Athos; Abrilar) containing English ivy leaf extract is  POSSIBLY SAFE  when taken by  mouth  three times daily for 1 week.
english-walnut,English walnut nut is safe for most people in usual food amounts.
epa-eicosapentaenoic-acid,EPA is  LIKELY SAFE  for most people when taken appropriately.
ephedra,Do not take products that contain ephedra or its active ingredients. Ephedra is  LIKELY UNSAFE  for adults and children.
equol,Taking equol  supplements  is  LIKELY SAFE  when used for up to one year.
ergot,Ergot is  UNSAFE.
ergothioneine,Ergothioneine is  LIKELY SAFE  when used in amounts found in foods.
eryngo,There isn’t enough information available to know if eryngo is safe or what the side effects might be.
eucalyptus,Eucalyptus leaf is LIKELY SAFE  when consumed in the small amounts found in foods.
euphorbia,There isn't enough information available to know if euphorbia is safe.
european-barberry,The fruit of European barberry is  LIKELY SAFE  when consumed in food amounts.
european-buckthorn,"European buckthorn is  POSSIBLY SAFE  for adults when standardized preparations are used short-term, up to 8-10 days."
european-chestnut,European chestnut seems safe for most adults when taken by  mouth.
european-five-finger-grass,There isn't enough information available to know if European five-finger grass is safe or what the possible side effects might be.
european-mandrake,European mandrake is  POSSIBLY UNSAFE  and should be avoided.
european-mistletoe,European mistletoe is  POSSIBLY SAFE  when used by mouth or when injected beneath the skin in appropriate amounts.
eurycoma-longifolia,Eurycoma longifolia is  POSSIBLY SAFE  when taken by mouth in medicinal amounts for up to 9 months.
evening-primrose-oil,Evening primrose oil is  LIKELY SAFE  for most people when used for up to a year.
evodia,There is not enough information available to know if evodia is safe or what the possible side effects might be.
eyebright,Eyebright is  POSSIBLY SAFE  for most people when taken by mouth.
fadogia-agrestis,There isn’t enough information available to know if Fadogia agrestis is safe or what the possible side effects might be.
false-unicorn,False unicorn seems to be safe for most adults.
fennel,Fennel is  LIKELY SAFE  when taken by mouth in the amounts commonly found in food.
fenugreek,Fenugreek is  LIKELY SAFE  for people when taken by mouth in amounts normally found in foods.
fermented-milk,Fermented milk is  LIKELY SAFE  when taking by mouth in amounts commonly found in foods.
fermented-wheat-germ-extract,Fermented wheat germ extract is  POSSIBLY SAFE  when taken by  mouth  in medicinal amounts.
fever-bark,Fever bark seems to be  UNSAFE.
feverfew,Feverfew is  LIKELY SAFE  when taken by mouth appropriately in the short-term (up to four months).
ficin,There isn't enough information to know if ficin is safe to take by  mouth.
field-scabious,There isn't enough information to know if field scabious is safe for use as medicine or what the possible side effects might be.
fig,Fresh or dried fig fruit is  LIKELY SAFE  for most people when used in food amounts.
figwort,There isn't enough information to know if figwort is safe.
fir,Fir might be safe for most people.
fireweed,Fireweed seems to be safe for most adults.
fish-oil,Fish oil is  LIKELY SAFE  for most people when taken by mouth in low doses (3 grams or less per day).
flaxseed,Flaxseed is  LIKELY SAFE  for most adults when taken by mouth.
flaxseed-oil,Flaxseed oil is  LIKELY SAFE  for most adults when taken by mouth appropriately short-term.
fluoride,"Fluoride is safe for most people in the amounts added to public water supplies and used in toothpastes and mouthwashes, and applied by dentists."
folic-acid,Folic acid is  LIKELY SAFE  for most people when taken by mouth or injected into the body.
fools-parsley,Fool's parsley is  UNSAFE.
forget-me-not,Forget-me-not might be  UNSAFE.
forsythia,It is not known if forsythia is safe when taken by  mouth.
fo-ti,Fo-ti is  POSSIBLY UNSAFE  to take by mouth due to concerns that it might cause liver damage in both adults and children.
foxglove,Foxglove is  UNSAFE  for anyone to take by mouth without the advice and care of a  healthcare  professional.
frankincense,Frankincense seems safe for use by most adults.
freshcut,There isn't enough reliable information available about freshcut to know if it is safe or what the side effects might be.
fringetree,There isn’t enough information to know if fringetree is safe.
frostwort,There isn't enough information to know if frostwort is safe or what the possible side effects might be.
fructo-oligosaccharides,Fructo-oligosaccharides seem to be safe when taken in less than 30 grams per day.
fulvic-acid,There isn’t enough reliable information about fulvic acid to know if it is safe.
fumitory,Fumitory is  POSSIBLY SAFE  for most adults when taken by  mouth  in the recommended amounts for a short period of time.
gaba-gamma-aminobutyric-acid,"GABA is  LIKELY SAFE  when taken correctly by mouth for short periods of time, up to 12 weeks."
galacto-oligosaccharides,Galacto-oligosaccharides are  POSSIBLY SAFE  when taken in doses of less than 20 grams per day.
galbanum,Galbanum seems safe for use when applied directly to the skin.
galphimia-glauca,"Galphimia glauca is  LIKELY SAFE  when taken by  mouth  in homeopathic (diluted) amounts, short-term."
gamboge,Gamboge seems to be  UNSAFE.
gamma-butyrolactone-gbl,Gamma butyrolactone (GBL) is  UNSAFE.
gamma-linolenic-acid,Gamma linolenic acid is  POSSIBLY SAFE  for most adults when taken by mouth in amounts of no more than 2.
gamma-oryzanol,Gamma oryzanol is  POSSIBLY SAFE  for most adults when taken by mouth or applied to the skin.
gamma-hydroxybutyrate,The prescription medication GHB (sodium oxybate) is  POSSIBLY SAFE  for adults who are taking it under close medical supervision for symptoms of a condition called narcolepsy.
garcinia,Garcinia is  POSSIBLY UNSAFE  when taken by mouth.
garden-cress,There isn't enough information to know whether garden cress is safe to use as a medicine.
gardenia,It isn't known if gardenia is safe when taken by mouth or applied to the skin.
garlic,Garlic is  LIKELY SAFE  for most people when taken by mouth appropriately.
gelatin,Gelatin is  LIKELY SAFE  for most people in food amounts.
gelsemium,Gelsemium is  UNSAFE.
genistein-combined-polysaccharide,There isn't enough information to know if genistein combined polysaccharide is safe.
gentian,"Gentian seems to be safe for most people when taken by mouth in small amounts as part of a combination product containing gentian root, elderflower, verbena, and cowslip flower (SinuComp, Sinupret)."
german-chamomile,German chamomile is  LIKELY SAFE  when taken in amounts found in food.
german-ipecac,German ipecac might be  UNSAFE  to take by  mouth.
german-sarsaparilla,There isn't enough information to know whether German sarsaparilla is safe.
germander,Germander is  UNSAFE.
germanium,Germanium is  LIKELY SAFE  when taken by mouth in amounts normally found in the diet.
ginger,Ginger is  LIKELY SAFE  when taken by mouth appropriately.
ginkgo,Ginkgo LEAF EXTRACT is  LIKELY SAFE  for most people when taken by mouth in appropriate doses.
ginseng-siberian,"Siberian ginseng is  LIKELY SAFE  for most adults when taken by mouth, short-term."
globe-flower,Fresh globe flower plant is  UNSAFE.
globemallow,It is not known if globemallow is safe or what the potential side effects might be.
glossy-privet,Glossy privet might be safe for most adults when used appropriately.
glucomannan,Glucomannan powder or flour is  LIKELY SAFE  when consumed as food.
glucosamine-hydrochloride,Glucosamine hydrochloride is  POSSIBLY SAFE  for most adults when taken by mouth appropriately for up to 2 years.
glucosamine-sulfate,Glucosamine sulfate is  LIKELY SAFE  when used appropriately by mouth in adults.
glutamine,Glutamine is  LIKELY SAFE  for most adults when taken by mouth in doses up to 40 grams daily or when given intravenously (by IV) in doses up to 600 mg/kg of body weight daily.
glutathione,"Glutathione is  POSSIBLY SAFE  for most adults when taken by mouth, by inhalation, or by injection into the muscle or into the veins."
glycerol,Glycerol seems to be safe for most adults.
glycine,Glycine is  POSSIBLY SAFE  for most people when taken by mouth or applied to the skin.
glycomacropeptide,Glycomacropeptide is  POSSIBLY SAFE  when taken by mouth as a food supplement for up to one year.
glyconutrients,Glyconutrients are  POSSIBLY SAFE  when taken by mouth in a dose of about 9 grams per day for 7 weeks.
goa-powder,Goa powder might be  UNSAFE.
goats-rue,There isn't enough information to know whether goat's rue is safe.
goji,"Goji is  POSSIBLY SAFE  when taken appropriately by mouth, short-term."
golden-ragwort,"There’s a lot of concern about using golden ragwort as medicine, because it contains chemicals called hepatotoxic pyrrolizidine alkaloids (PAs), which may block  blood  flow in the veins and cause  liver  damage. Hepatotoxic PAs might also cause  cancer  and  birth defects."
goldenrod,There is not enough information available to know if goldenrod is safe to take for medical conditions.
goldenseal,Goldenseal is  POSSIBLY SAFE  for most adults when taken by mouth as a single dose.
goldthread,There is not enough information to know if goldthread is safe in medicinal amounts.
gossypol,Gossypol is  POSSIBLY UNSAFE  for use without close supervision by a  healthcare  professional.
gotu-kola,Gotu kola is  POSSIBLY SAFE  in pregnant women when applied to the skin.
goutweed,There isn't enough information to know if goutweed is safe or what the possible side effects might be.
grains-of-paradise,Grains of paradise might be safe for most adults.
grape,Grape is  LIKELY SAFE  when consumed in amounts commonly found in foods.
grapefruit,Grapefruit is  LIKELY SAFE  in the amounts normally used as food and  POSSIBLY SAFE  when taken by mouth for medicinal purposes.
gravel-root,"There’s a lot of concern about using gravel root as medicine, because it contains chemicals called hepatotoxic pyrrolizidine alkaloids (PAs), which may block  blood  flow in the veins and cause  liver  damage. Hepatotoxic PAs might also cause  cancer  and  birth defects."
graviola,Graviola is  POSSIBLY UNSAFE  when taken by mouth.
great-plantain,Great plantain seems to be safe when taken by  mouth  by most adults.
greater-bindweed,Greater bindweed may be  UNSAFE  due to its strong  laxative  effects.
greater-burnet,It is not known if greater burnet is safe or what the possible side effects might be.
greater-celandine,Greater celandine is  POSSIBLY UNSAFE  when taken by mouth.
greek-sage,It is not known if Greek sage is safe or what the possible side effects might be.
green-coffee,Green coffee is  POSSIBLY SAFE  when taken by mouth appropriately.
green-tea,"Green tea is  LIKELY SAFE  for most adults when consumed as a drink in moderate amounts or when green tea extract is applied to the skin as a specific ointment (Veregen, Bradley Pharmaceuticals), short-term."
ground-ivy,Ground ivy is  POSSIBLY SAFE  in the amounts used to flavor foods and in small doses as medicine.
ground-pine,It isn’t known if ground pine is safe for use as a medicine or what the possible side effects might be.
groundsel,Groundsel is  LIKELY UNSAFE  for anyone to take by mouth.
guaiac-wood,Guaiac wood and guaiac resin seem to be safe for most adults in the amounts found in foods and in small medicinal doses.
guar-gum,Guar gum is  LIKELY SAFE  for most people when taken by mouth with at least 8 ounces of liquid.
guarana,Guarana is  LIKELY SAFE  for most adults when consumed in amounts commonly found in foods.
guarumo,Guarumo is  POSSIBLY SAFE  when taken by  mouth  as a tea.
guava,Guava fruit is  LIKELY SAFE  when eaten as a food.
guayule,It isn’t known if guayule is safe or what the possible side effects might be.
guggul,Guggul is  POSSIBLY SAFE  for most people when taken by mouth appropriately.
gumweed,Gumweed is  POSSIBLY SAFE  for most people when taken by  mouth.
gymnema,Gymnema is  POSSIBLY SAFE  when taken by mouth appropriately for up to 20 months.
haronga,Haronga might be safe for most people if used for a short time.
hartstongue,There isn't enough information available to know if hartstongue is safe or what the possible side effects might be.
hawaiian-baby-woodrose,Hawaiian baby woodrose is  UNSAFE.
hawthorn,Hawthorn is  POSSIBLY SAFE  for most adults when used at recommended doses short-term (up to 16 weeks).
hazelnut,Hazelnut seems to be safe for most people in food amounts.
hearts-ease,Heart 's ease is  POSSIBLY SAFE  for most people when taken appropriately by  mouth  or applied to the skin.
heather,"Heather might be safe for most people, but the possible side effects are not known."
hedge-mustard,The flowering above-ground parts of hedge mustard are considered  UNSAFE  to take by  mouth.
hedge-hyssop,Hedge-hyssop is considered to be  UNSAFE.
hemlock,"All parts of hemlock, including seeds, flowers, and fruits, are  UNSAFE."
hemlock-spruce,It is not known if hemlock spruce is safe or what the potential side effects might be.
hemlock-water-dropwort,Hemlock water dropwort is  UNSAFE  and poisonous.
hemp-agrimony,"There’s a lot of concern about using hemp agrimony as medicine, because it contains chemicals called hepatotoxic pyrrolizidine alkaloids (PAs), which may block  blood  flow in the veins and cause  liver  damage. Hepatotoxic PAs might also cause  cancer  and  birth defects."
hempnettle,"Hempnettle seems to be safe for most people when taken by  mouth , but the possible side effects are not known."
henbane,Henbane is possibly safe for most people when taken by mouth for a short time with the help of a  healthcare  professional.
henna,Henna seems to be safe for most adults when used on the skin or hair.
herb-paris,Herb Paris is  UNSAFE  when taken by  mouth.
herb-robert,There isn't enough information available to know if Herb Robert is safe.
hericium-erinaceus,"Hericium erinaceus is  POSSIBLY SAFE   when taken by mouth as a medicine, short-term."
hesperidin,Hesperidin is  POSSIBLY SAFE  for most people when taken by mouth for up to 6 months.
hibiscus,Hibiscus is  LIKELY SAFE  for most people in when consumed in food amounts.
higenamine,Higenamine is  POSSIBLY UNSAFE  when taken by mouth.
histidine,Histidine might be safe for most people.
holly,Holly BERRIES are poisonous and  UNSAFE  for use.
hollyhock,"Hollyhock might be safe for most people, but the possible side effects aren't known."
holy-basil,"Holy basil is  POSSIBLY SAFE  when used by mouth for short periods of time, up to six weeks."
homotaurine,Homotaurine is  POSSIBLY SAFE  when taken by  mouth  for most people.
honey,Honey is  LIKELY SAFE  for most adults and children over one year old when taken by mouth or when appropriately applied to the skin by adults.
honeysuckle,"It is not known if honeysuckle, in general, is safe."
hoodia,There isn’t enough information to know if hoodia is safe.
hops,Hops are considered  LIKELY SAFE  when consumed in amounts commonly found in foods.
hordenine,Hordenine is  POSSIBLY UNSAFE  when taken by mouth.
horny-goat-weed,"Horny goat weed extract is  POSSIBLY SAFE  when taken by mouth, appropriately."
horse-chestnut,Horse chestnut is  LIKELY SAFE  for most people when a standardized seed extract product is taken by mouth for a short amount of time.
horsemint,It isn’t known if horsemint is safe or what the possible side effects might be.
horseradish,Horseradish root is  LIKELY SAFE  when taken by mouth in food amounts.
horsetail,Horsetail is  POSSIBLY UNSAFE  when taken by mouth long-term.
hounds-tongue,Hound's tongue is  UNSAFE  and poisonous.
houseleek,There isn't enough information to know if houseleek is safe when taken by mouth or put on the skin or what the possible side effects might be.
hu-zhang,There is not enough information available to know if hu zhang is safe to take for medical conditions.
humic-acid,There isn’t enough information available to know if humic acid is safe.
huperzine-a,Huperzine A is  POSSIBLY SAFE  when taken by mouth for a short period of time (less than 3 months).
hyacinth-bean,Hyacinth beans are  POSSIBLY UNSAFE  when eaten raw and in large amounts.
hyaluronic-acid,"Hyaluronic acid is  LIKELY SAFE  when taken by mouth, applied to the skin, or given by injection and appropriately."
hydrangea,Hydrangea is  POSSIBLY SAFE  for most people when taken by  mouth  for only a few days.
hydrazine-sulfate,Hydrazine sulfate is  POSSIBLY UNSAFE.
hydroxycitric-acid,Hydroxycitric acid is  POSSIBLY SAFE  for most people when taken by  mouth  for 12 weeks or less.
hydroxymethylbutyrate,"HMB is  POSSIBLY SAFE  for most people when taken by mouth, short-term."
hyperimmune-egg,Hyperimmune egg seems to be safe for adults when used appropriately up to 26 weeks.
hyssop,Hyssop is considered safe for most people in the amounts commonly found in foods and in medicinal amounts.
iboga,There isn’t enough information to know if iboga is safe for use.
iceland-moss,Iceland moss seems safe for most people when taken short-term.
idebenone,Idebenone is  POSSIBLY SAFE  for most people when taken by mouth and when used on the skin.
ignatius-bean,Ignatius bean is  UNSAFE.
immortelle,There isn't enough information to know if immortelle is safe.
indian-frankincense,Indian frankincense is  LIKELY SAFE  for most adults when taken by mouth for up to six months.
indian-gooseberry,Indian gooseberry seems  LIKELY SAFE  for most people when consumed in amounts found in foods.
indian-long-pepper,There isn't enough information to know if Indian long pepper is safe for use as a medicine.
indian-physic,It is not known if Indian physic is safe or what the possible side effects might be.
indian-snakeroot,Indian snakeroot is  POSSIBLY SAFE  when taken by mouth.
indium,Indium might be  UNSAFE.
indole-3-carbinol,Indole-3-carbinol is  POSSIBLY SAFE  for most people when taken by mouth as a medicine under proper medical supervision.
inosine,Inosine is  POSSIBLY SAFE  for most people when taken by mouth.
inositol,Inositol is  POSSIBLY SAFE  for most adults when taken by mouth.
inositol-nicotinate,Inositol nicotinate is  POSSIBLY SAFE  for most people when taken by mouth.
iodine,Iodine is  LIKELY SAFE  for most people when taken by mouth at recommended amounts or when applied to the skin appropriately using approved products.
ip-6,IP-6 is safe when used in amounts found in foods.
ipecac,Ipecac is  POSSIBLY SAFE  for most people when taken by mouth and used for a short time.
iporuru,It is not known if iporuru is safe or what the possible side effects might be.
ipriflavone,Ipriflavone is  LIKELY SAFE  for most people when used with proper medical supervision.
iron,Iron is  LIKELY SAFE  for most people when it is taken by mouth or injected into the vein in appropriate amounts.
irvingia-gabonensis,"Irvingia gabonensis is  POSSIBLY SAFE  for adults when a crude seed extract is taken for up to 4 weeks, or when a specific standardized seed extract called IGOB131 is used for up to 10 weeks."
isatis,"Isatis is  POSSIBLY SAFE  when applied to the skin appropriately, short-term."
ivy-gourd,Ivy gourd is  POSSIBLY SAFE  for most people when taken by  mouth  for up to 6 weeks.
jaborandi,Jaborandi is  UNSAFE  for use as a medicinal herb.
jackfruit,It isn't known if jackfruit is safe when taken as a medicine.
jacobs-ladder,It is not known if Jacob's ladder is safe or what the possible side effects might be.
jalap,Jalap is  UNSAFE.
jamaican-dogwood,Jamaican dogwood is  LIKELY UNSAFE  and poisonous when taken by  mouth  for self-medication.
jambolan,Jambolan is  POSSIBLY SAFE  for most people when taken by mouth in usual medicinal amounts.
japanese-apricot,The processed fruit seems to be safe in food amounts.
japanese-mint,Japanese mint oil seems to be safe for most people when taken appropriately by mouth or applied to the skin.
japanese-persimmon,There isn't enough information available to know if Japanese persimmon is safe for medicinal use.
jasmine,Jasmine is  LIKELY SAFE  for most people in food amounts.
java-tea,Java tea is  POSSIBLY SAFE  when taken by mouth by adults for a short period of time.
javanese-turmeric,"Javanese turmeric seems to be safe for most people when used for a short time, up to 18 weeks."
jequirity,Jequirity is  LIKELY UNSAFE  when taken by mouth.
jewelweed,Jewelweed is  POSSIBLY SAFE  for most people when taken by  mouth  or applied directly to the skin.
jiaogulan,Jiaogulan is  POSSIBLY SAFE  when taken by mouth short-term (up to 4 months).
jimson-weed,Jimson weed is  UNSAFE  when taken by mouth or inhaled.
jobs-tears,Job's tears seems to be safe when in food amounts.
jojoba,Jojoba is  LIKELY SAFE  for most people when applied to the skin.
juniper,"Juniper, juniper berry, and juniper extract are  LIKELY SAFE  when consumed in normal food amounts."
kale,Kale is  LIKELY SAFE  when consumed in food amounts.
kamala,There isn't enough information to know if kamala is safe or what the possible side effects might be.
kaolin,Kaolin is  POSSIBLY SAFE  for most people when taken by mouth.
karaya-gum,Karaya gum seems safe for most people when taken with plenty of fluids.
kava,Kava is  POSSIBLY UNSAFE  when taken by mouth.
kefir,Kefir is  POSSIBLY SAFE  for most adults when taken by mouth for up to 8 weeks.
khat,Khat is  POSSIBLY UNSAFE  for most people when taken by mouth.
khella,Khella is  POSSIBLY UNSAFE  when taken in high doses or used for a long time.
kinetin,There is not enough information available to know if kinetin is safe.
kiwi,Kiwi is  LIKELY SAFE  for most people when used in food amounts.
knotweed,"Knotweed may be safe for most people, but the possible side effects of knotweed are not known."
kohlrabi,Kohlrabi is  LIKELY SAFE  when consumed in food amounts.
kombucha,Kombucha is  POSSIBLY SAFE  for most adults when taken by mouth.
korean-pine,There isn't enough information to know if Korean pine is safe.
kousso,Kousso is  LIKELY UNSAFE.
kratom,Kratom is  POSSIBLY UNSAFE  for most people when taken by mouth.
krebiozen,It isn’t known if Krebiozen is safe.
krill-oil,Krill oil is  POSSIBLY SAFE  for most adults when used appropriately for a short amount of time (up to three months).
kudzu,Kudzu is  POSSIBLY SAFE  for most people when taken by mouth appropriately for up to 4 months or when injected intravenously (by IV) for up to 20 days.
labdanum,Labdanum is  LIKELY SAFE  when taken by mouth in food amounts.
labrador-tea,Labrador tea is  POSSIBLY SAFE  for most people when used as a weak tea or in small amounts.
laburnum,Laburnum is  UNSAFE.
lactase,Lactase seems to be safe for most people.
lactobacillus,Lactobacillus is  LIKELY SAFE  when taken by mouth appropriately.
lactoferrin,Lactoferrin is safe in amounts consumed in food.
lady-fern,There isn’t enough information to know if lady fern is safe or what the potential side effects might be.
ladys-bedstraw,It is not known if lady's bedstraw is safe or what the possible side effects might be.
laminaria,Laminaria is  LIKELY SAFE  when it is consumed in amounts found in food.
larch-arabinogalactan,Larch arabinogalactan is  LIKELY SAFE  when eaten in food amounts.
larch-turpentine,Larch turpentine seems safe when used on unbroken skin.
l-arginine,"L-arginine is  POSSIBLY SAFE  for most people when taken appropriately by mouth, administered as a shot, applied to the skin, used in a toothpaste, or inhaled, short-term."
lathyrus,Lathyrus is  LIKELY UNSAFE  when taken by  mouth.
laurelwood,There isn't enough information to know if laurelwood is safe.
lauric-acid,Lauric acid is safe in amounts found in foods.
lavender,Lavender is  LIKELY SAFE  for most adults in food amounts.
lavender-cotton,There isn't enough information available to know if lavender cotton is safe.
l-carnitine,"L-carnitine is  LIKELY SAFE  when taken by mouth for up to 12 months, and when used as an injection, with the approval of a healthcare provider."
l-citrulline,L-citrulline is  POSSIBLY SAFE  when used orally and appropriately by adults.
lecithin,Lecithin is  LIKELY SAFE  for most people.
lemon,Lemon is  LIKELY SAFE  in the amounts typically found in foods.
lemon-balm,Lemon balm is  LIKELY SAFE  when used in food amounts.
lemon-eucalyptus,Lemon eucalyptus oil is safe for most adults when applied to the skin as a mosquito repellent.
lemon-verbena,Lemon verbena is safe for most people when consumed in amounts found in  alcoholic  beverages.
lemongrass,Lemongrass is  LIKELY SAFE  for most people when used in food amounts.
lentinan,There isn't enough information available to know if lentinan is safe.
lesser-celandine,Eating small amounts of fresh leaf sheaths of lesser celandine is  POSSIBLY SAFE.
levant-berry,Levant berry is  UNSAFE  to take by  mouth.
licorice,Licorice is  LIKELY SAFE  for most people when taken by mouth in amounts found in foods.
lily-of-the-valley,Lily-of-the-valley might be safe for most people when used under proper medical supervision.
lime,Lime is  LIKELY SAFE  for most adults when used in amounts found in foods.
limonene,Limonene is safe in food amounts.
linden,Linden is  LIKELY SAFE  for most people when the leaf is used in food amounts.
lingonberry,Lingonberry concentrate is  POSSIBLY SAFE  when taken by  mouth  appropriately.
lipase,Lipase seems to be safe for most people.
lithium,Lithium seems to be safe for most people when taken appropriately with careful monitoring by a healthcare provider.
liver-extract,There isn't enough information to know if liver extract is safe.
liverwort,Fresh liverwort is  LIKELY UNSAFE  when taken by mouth or applied to the skin.
lobelia,Lobelia is considered  LIKELY UNSAFE  for most people when taken by mouth.
