ingredient,side_effects
canaigre,"Canaigre seems to be safe for most people in usual amounts, but taking large amounts might be  UNSAFE . There is concern that big doses of canaigre might contain enough tannins to cause  cancer .  "
cananga-oil,Cananga oil is safe to take by  mouth  in the amounts commonly used in food flavoring. But there isn't enough information to know if cananga oil is safe to take by  mouth  in larger amounts.    It might be safe to use cananga oil on the  skin .   
canella,It is not known if canella is safe or what the possible side effects might be.  
cannabidiol,"Cannabidiol is  POSSIBLY SAFE  when taken by mouth or sprayed under the tongue appropriately. Cannabidiol in doses of up to 300 mg daily have been taken by mouth safely for up to 6 months. Higher doses of 1200-1500 mg daily have been taken by mouth safely for up to 4 weeks. A prescription cannabidiol product (Epidiolex) is approved to be taken by mouth in doses of up to 10-20 mg/kg daily. Cannabidiol sprays that are applied under the tongue have been used in doses of 2.5 mg for up to 2 weeks.   

Some reported side effects of cannabidiol include dry mouth, low blood pressure, light headedness, and drowsiness. Signs of liver injury have also been reported in some patients, but this is less common.   
 "
canthaxanthin,"Canthaxanthin is  LIKELY SAFE  when taken by mouth in food amounts. However, it is  LIKELY UNSAFE  when taken by mouth in amounts needed for artificial tanning. Some people who have taken canthaxanthin for these purposes have experienced eye damage and  vision loss .    At high doses, canthaxanthin has caused a serious, potentially fatal blood disorder called  aplastic anemia . Canthaxanthin can also cause  diarrhea , nausea,  stomach  cramps, dry and itchy skin, hives, orange or red body secretions, and other side effects.     "
capers,"Capers are  LIKELY SAFE  for most people when eaten as a food. Capers are  POSSIBLY SAFE  when taken by mouth as a medicine, short-term. There isn't enough information available to know if capers are safe to apply to the skin. Capers can cause skin rash and skin irritation in some people.   
 "
caprylic-acid,"Caprylic acid is  LIKELY SAFE  for most people when taken by  mouth  in food amounts or when used at approved doses for nutritional supplementation and in tests to measure stomach emptying. It can cause some side effects, including  nausea ,  bloating , and  diarrhea .    Caprylic acid is  POSSIBLY SAFE  when taken by  mouth  as part of a  ketogenic diet  or a diet high in medium chain  triglycerides  (MCTs) under the guidance of a physician. However, diets containing high amounts of caprylic acid might cause  constipation ,  vomiting ,  stomach pain , low levels of  calcium  in the blood, drowsiness, or growth problems.    Caprylic acid is  LIKELY UNSAFE  when taken by mouth by people with a condition known as medium-chain acyl-CoA dehydrogenase (MCAD) deficiency. People with this condition are not able to break down caprylic acid appropriately. This can lead to increased levels of caprylic acid in the blood, which may increase the risk of comas.  "
capsicum,"Medicinal lotions and creams that contain capsicum extract are  LIKELY SAFE  for most adults when applied to the skin. The active chemical in capsicum, capsaicin, is approved by the FDA as an over-the-counter product. That is, it can be sold without a prescription.    Side effects can include skin irritation, burning, and itching. Capsicum can also be extremely irritating to the eyes, nose, and throat. Don't use capsicum on sensitive skin or around the eyes.    Capsicum extract is  LIKELY SAFE  for most adults when taken by mouth, short-term and in amounts typically found in food. Side effects can include stomach irritation and upset, sweating, flushing, and runny nose. It is  POSSIBLY UNSAFE  to take capsicum by mouth in large doses or for long periods of time. In rare cases, this can lead to more serious side effects like liver or kidney damage.    Capsicum extract is  POSSIBLY SAFE  when used in the nose. No serious side effects have been reported, but application in the nose can be very painful. Nasal application can cause burning pain, sneezing, watery eyes, and runny nose. These side effects tend to decrease and go away after 5 or more days of repeated use.  "
caralluma,"Caralluma is  LIKELY SAFE  for most people when taken by mouth in amounts commonly found in foods. Caralluma is  POSSIBLY SAFE  when taken by mouth in medicinal amounts for up to 12 weeks. Caralluma might cause some mild side effects such as stomach upset, intestinal gas, constipation, and stomach pain. These side effects usually go away after a week of use.

 "
caraway,"Caraway is  LIKELY SAFE  for most people when taken by mouth in food amounts. Caraway is  POSSIBLY SAFE  for most people when taken by mouth in medicinal amounts for up to 3 months or when applied to the skin for up to 3 weeks.    

Caraway oil can cause belching, heartburn, and nausea when used with peppermint oil. It can cause skin rashes and itching in sensitive people when applied to the skin.

 "
cardamom,"Cardamom is  LIKELY SAFE  when taken by mouth in amounts commonly found in food. It is  POSSIBLY SAFE  when taken by mouth in medicinal amounts, or when the vapor from the oil is breathed in, but the potential side effects of cardamom are not known.   
 "
carlina,There isn't enough information to know if carlina is safe.  
carnosine,"Carnosine is  POSSIBLY SAFE  for most children and adults when taken by mouth, or in adults when used on the skin or in an enema. However, there can be some rare side effects. These might include a rash or itchiness, dry mouth, changes in appetite, feelings of tiredness, or vivid dreams.   
 

"
carob,Carob is  LIKELY SAFE  for most people when taken by  mouth  in food amounts or as a medicine. There don’t seem to be any unwanted side effects.     
carqueja,There isn’t enough information to know if carqueja is safe.  
carrageenan,Carrageenan is  LIKELY SAFE  for most people when taken by  mouth  in food amounts. There is a chemically altered form of carrageenan that is available in France to treat  peptic ulcers . This form is  POSSIBLY UNSAFE  because there's some evidence that it might cause  cancer .     
carrot,Carrot is  LIKELY SAFE  when eaten as a food. It is not clear if carrot is safe when used as a medicine.    Carrot might cause  skin  yellowing if eaten in large amounts. It might cause  tooth  decay if consumed in large quantities as a juice.  
cascara-sagrada,"Cascara sagrada is  POSSIBLY SAFE  for most adults when taken by mouth for less than one week. Side effects include stomach discomfort and cramps.   

Cascara sagrada is  POSSIBLY UNSAFE  when used long-term.  Don’t use cascara for longer than one or two weeks. Long-term use can cause more serious side effects including dehydration; low levels of potassium, sodium, chloride, and other “electrolytes” in the blood; heart problems; muscle weakness; and others.   
 "
cascarilla,There isn't enough information to know if cascarilla is safe or what the possible side effects might be.  
casein-peptides,Casein peptides are normally consumed in the diet from milk products. But there isn't enough information to know if casein peptides in  dietary supplements  are safe.  
cashew,Cashew is  LIKELY SAFE  in normal food amounts. There isn’t enough information to know if cashew is safe for use as a medicine. Unroasted cashew can irritate the skin and cause redness and  blisters .     
cassava,"Cassava is  LIKELY SAFE  for most people when eaten occasionally in normal food amounts if prepared properly.     Cassava is  POSSIBLY UNSAFE  when eaten occasionally in normal food amounts if prepared improperly. Cassava that is prepared improperly may contain chemicals called cyanogenic glycosides. These chemicals are converted to cyanide in the body when eaten. This may cause cyanide poisoning and lead to certain paralysis conditions.     Raw or improperly prepared cassava is  LIKELY UNSAFE  when eaten on a regular basis. Regularly eating raw or improperly prepared cassava, especially as part of a low- protein diet , significantly increases the risk of cyanide poisoning.    There isn't enough information to know if cassava is safe to use as a medicine in adults.  "
cassia-auriculata,There isn't enough information available to know if Cassia auriculata is safe.  
cassia-cinnamon,"Cassia cinnamon is  LIKELY SAFE  when taken by mouth in amounts commonly found in foods and when taken by mouth in medicinal doses for up to 4 months.    Cassia cinnamon is  POSSIBLY SAFE  when applied to the skin in the short-term.    Cassia cinnamon is  POSSIBLY UNSAFE  when taken by mouth in large amounts for a long period of time. Taking large amounts of cassia cinnamon might cause side effects in some people. Cassia cinnamon can contain large amounts of a chemical called coumarin. In people who are sensitive, coumarin might cause or worsen liver disease. When applied to the skin, cassia cinnamon can sometimes cause skin irritation and allergic skin reactions.  "
cassia-nomame,It isn't known if Cassia nomame is safe or what the possible side effects might be.  
cassie-absolute,"Cassie absolute seems to be safe in food amounts, but the safety and possible side effects of larger medicinal amounts are unknown.  "
castor-bean,"Castor oil is  LIKELY SAFE  for most people when taken by mouth as a single dose. In some people, castor oil can cause stomach discomfort, cramping, nausea, and faintness.    Castor oil seeds that have had the outer coat removed (hulled) are  POSSIBLY SAFE  when taken by mouth as a single dose. Also, castor oil eye drops are  POSSIBLY SAFE  when applied to the eye for up to 30 days.    Castor oil is  POSSIBLY UNSAFE  when taken by mouth long-term or in large doses. It might cause fluid and potassium loss from the body when used for more than a week or in doses of more than 15-60 mL per day.    The whole seed is  UNSAFE  to take by mouth. The outer coating (hull) of the castor seed contains a deadly poison. This outer coating can cause nausea; vomiting; diarrhea; abdominal pain; dehydration; shock; blood cell destruction; severe fluid and chemical disturbances; liver, kidney, and pancreas damage; and death. Chewing as few as 1-6 whole seeds can kill an adult. If the seed is swallowed whole, poisoning is less likely; however, prompt medical attention is still an absolute necessity.     "
castoreum,Castoreum is safe in usual food amounts and seems to be safe for most people when applied directly to the  skin . There isn’t enough information to know whether it is safe to take castoreum by  mouth  in medicinal amounts.  
catechu,"Catechu is  LIKELY SAFE  when taken in amounts found in food. Catechu is  POSSIBLY SAFE  when taken in medicinal amounts for a short period of time. A specific combination product called flavocoxid (Limbrel, Primus Pharmaceuticals) that contains catechu was safely used in research studies lasting up to 12 weeks. However, there are concerns that this combination product might cause liver problems in some people. This side effect does not appear to be common and might only occur in people who have a type of allergic reaction to it.   

It’s also not known whether it’s safe to apply catechu directly to the skin.   
 "
catnip,"Catnip is  POSSIBLY SAFE  for most adults when taken by mouth in small amounts. Cupful amounts of catnip tea have been consumed without serious side effects. However, catnip is  POSSIBLY UNSAFE  when smoked or taken by mouth in high doses (many cups of catnip tea, for example).    It can cause headaches, vomiting, and a feeling of being ill.    Not enough is known about the safety of applying catnip directly to the skin.     "
cats-claw,"Cat's claw is  POSSIBLY SAFE  for most people, when taken by mouth short-term. However, it can cause headache, dizziness, and vomiting in some people.      "
cats-foot,There isn’t enough information to know if cat’s foot is safe.  
catuaba,There isn't enough information available to know if catuaba is safe.  
cauliflower,Cauliflower is  LIKELY SAFE  when consumed in food amounts. It isn’t known if cauliflower is safe or what the possible side effects might be when taken in medicinal amounts.  
celery,"Celery oil and celery seeds are  LIKELY SAFE  when taken by mouth in food amounts. Celery is  POSSIBLY SAFE  for most people when taken by mouth or applied to the skin in medicinal amounts for a short period of time. However, many people are allergic to celery. Allergic reactions can range from skin inflammation to anaphylaxis. Celery can also cause sensitivity to the sun.    
 "
centaury,Centaury is safe when used in food amounts and seems safe for most people when used in medicinal amounts.  
cereus,"Cereus seems safe for most people, when used for conditions other than  heart disease . But it’s  UNSAFE  to use cereus for a heart condition, except under the direct supervision of a  healthcare  professional. Don’t use it on your own because effects on the heart should be monitored.    The fresh juice may cause burning of the  mouth ,  nausea ,  vomiting , and  diarrhea . It can cause  itching  and skin  blisters  when applied to the skin.  "
cesium,"High doses of cesium might be  UNSAFE . There are reports of severe life-threatening  low blood pressure  and  irregular heartbeat  in some people who took high doses of cesium for several weeks. There isn't enough information to know if lower doses of cesium are safe. Some people who take cesium by  mouth  can also have  nausea ,  diarrhea , and loss of appetite. Tingling of the lips, hands, and feet may also occur.  "
cetylated-fatty-acids,"Cetylated fatty acids are  POSSIBLY SAFE  when taken by mouth or applied to the skin, short-term. Side effects have not been reported. But there is not much information available about the safety of long-term use.  "
ceylon-cinnamon,"Consuming Ceylon cinnamon in food amounts is  LIKELY SAFE . Ceylon cinnamon is  POSSIBLY SAFE  for most people when taken by mouth in amounts used for medicine. These amounts are slightly higher than amounts found in food. However, Ceylon cinnamon is  POSSIBLY UNSAFE  when taken by mouth in large amounts or long term. Also, taking cinnamon oil by mouth is  POSSIBLY UNSAFE . The oil can be irritating to the skin and mucous membranes, including the stomach, intestine, and urinary tract. It can cause side effects such as diarrhea, vomiting, dizziness, drowsiness, and others.   
 "
cha-de-bugre,There is not enough known about Cha de Bugre to know if there are any safety concerns or if it is safe to take.  
chaga,It isn’t known if chaga is safe or what the possible side effects might be.  
chanca-piedra,Chanca piedra is  POSSIBLY SAFE  when taken by mouth for a short time period (up to 3 months).     It is not known if chanca piedra causes side effects.     
chaparral,"Chaparral is  UNSAFE . There are several reports of serious poisoning, acute  hepatitis , and  kidney  and  liver  damage, including  kidney  and  liver failure .    Chaparral can cause side effects including stomach pain,  nausea ,  diarrhea ,  weight  loss, fever, and liver and kidney damage. Putting chaparral on the skin can cause skin reactions including  rash  and  itching .  "
chaulmoogra,"Chaulmoogra is  UNSAFE  when taken by  mouth  because it contains cyanide and might cause cyanide poisoning. It can cause  cough , difficulty breathing, throat spasms,  kidney  damage, visual disorders, head and  muscle pain , and paralysis when taken by  mouth .    The safety of applying chaulmoogra to the skin is unknown. It can cause skin irritation.  "
cheken,There isn't enough information available to know if cheken is safe or what the possible side effects might be.  
chelated-minerals,There isn't enough information available to know if chelated minerals are safe.  
chenopodium-oil,"Chenopodium oil is  UNSAFE .    Chenopodium oil contains the chemical ascaridole, which is very toxic. It can irritate the  skin ,  mouth , throat, and lining of the  stomach  and  intestines . It can also cause  vomiting ,  headache ,  dizziness ,  kidney  and  liver  damage, temporary  deafness , convulsions, paralysis, and death. Chenopodium oil can explode if heated or mixed with acids.  "
cherokee-rosehip,"Cherokee rosehip appears to be safe for most people when taken at recommended doses. It can cause  nausea ,  stomach cramps ,  fatigue , and sleeplessness.    Large doses (67 grams of Cherokee rosehip or more per day) can cause diarrhea and symptoms of  vitamin C  poisoning, such as  kidney  and urinary tract problems.  "
cherry-laurel-water,Cherry laurel water seems safe for use when used in small amounts (up to about 1.5 teaspoonfuls). It’s  UNSAFE  to use large amounts. Large amounts or overdoses can cause poisoning and death.  
chervil,"Chervil and chervil extracts are  LIKELY SAFE  in food amounts. However, there isn't enough information to know if chervil is safe in medicinal amounts, which are typically higher.     "
chia,Chia is  POSSIBLY SAFE  when taken by mouth for up to 12 weeks and when applied to the skin for up to 8 weeks. Not enough is known about the safety of using it for a longer period of time.     
chickweed,"Chickweed is  LIKELY SAFE  for most adults when taken by  mouth , but the potential side effects are not known. It is not known if applying chickweed to the skin is safe or what the potential side effects might be.     "
chicory,"Chicory is  LIKELY SAFE  for most adults when consumed in amounts found in food.   

Chicory is  POSSIBLY SAFE  for most adults when taken by mouth in medicinal amounts. Taking chicory by mouth might cause minor GI side effects including gas, bloating, abdominal pain, and belching   

Not enough is known about the safety of using chicory for its other uses. Some reports show that handling the chicory plant might cause skin irritation. Inhaling powder from dried chicory roots might cause asthma.   
 "
chinese-club-moss,"There isn't enough information available to know if Chinese club moss is safe. It might cause side effects such as  dizziness ,  nausea , and  sweating .  "
chinese-cucumber,"Chinese cucumber ROOT is  UNSAFE . Chinese cucumber root injections can cause severe side effects, including allergic reactions,  seizures , fever, fluid buildup in the  lungs  and  brain , bleeding in the brain,  heart  damage, and death.    Chinese cucumber FRUIT and SEED seem to be safe for most people. They can cause some mild side effects such as  diarrhea  and  upset stomach .  "
chinese-mallow,There isn't enough information available to know if Chinese mallow is safe.  
chinese-prickly-ash,There isn’t enough information to know if Chinese prickly ash is safe for use as a medicine.  
chirata,"Chirata is  LIKELY SAFE  when taken by  mouth  in the amounts found in beverages. However, there isn't enough information available to know if chirata is safe in larger medicinal amounts.     "
chitosan,"Chitosan is  POSSIBLY SAFE  for most people when taken by mouth for up to 6 months or when applied to the skin for a short time. When taken by mouth, chitosan might cause mild stomach upset, constipation, or gas.   
 "
chive,"Chive is  LIKELY SAFE  for most people in food amounts. It is  POSSIBLY SAFE  when taken by  mouth  in medicinal amounts, which are typically larger. Taking too much chive can cause an  upset stomach .     "
chlorella,"Chlorella is  LIKELY SAFE  when taken by mouth, short-term (up to 29 weeks). The most common side effects include diarrhea, nausea, gas (flatulence), green discoloration of the stools, and stomach cramping, especially in the two weeks of use.   

Chlorella can cause skin to become extra sensitive to the sun. Wear sunblock outside, especially if you are light-skinned.   
 "
chlorophyll,"Chlorophyll is  LIKELY SAFE  for most people when taken by  mouth . It is  POSSIBLY SAFE  when injected intravenously (by IV) under the supervision of a trained medical professional or when applied to the skin.    Chlorophyll can cause skin to become extra-sensitive to the sun. Wear sunblock outside, especially if you are light-skinned.     "
chlorophyllin,Chlorophyllin seems to be safe for most people.  
choline,"Choline is  LIKELY SAFE  for most adults when taken by mouth or given intravenously (by IV) in appropriate amounts.    Taking high doses of choline by mouth is  POSSIBLY UNSAFE  for adults. Doses over the Daily Upper Intake Levels (see dosage section below) are more likely to cause side effects such as sweating, a fishy body odor, gastrointestinal distress, diarrhea, and vomiting.    There is some concern that increasing dietary choline intake might increase the risk of cancer of the colon and rectum. One study found that women eating a diet that contains a lot of choline have an increased the risk of colon cancer. However, more research is still needed to determine the effects of diet on colon cancer.     "
chondroitin-sulfate,"Chondroitin sulfate is  LIKELY SAFE  when taken by mouth or used as an eye solution during cataract surgery. Chondroitin sulfate has been taken by mouth safely in research for up to 6 years. Also, chondroitin sulfate has been given premarket approval by the US Food and Drug Administration (FDA) to be used as an eye solution during cataract surgery.    But there is some concern about the safety of chondroitin sulfate because it comes from animal sources. Some people are worried that unsafe manufacturing practices might lead to contamination of chondroitin products with diseased animal tissues, including those that might transmit bovine spongiform encephalopathy (mad cow disease). So far, there are no reports of chondroitin causing disease in humans, and the risk is thought to be low. It can cause some mild stomach pain and nausea. Other side effects that have been reported are bloating, diarrhea, constipation, headache, swollen eyelids, leg swelling, hair loss, skin rash, and irregular heartbeat.    Some chondroitin products contain excess amounts of manganese. Ask your healthcare professional about reliable brands.    Chondroitin sulfate is  POSSIBLY SAFE  when injected into the muscle short-term, when applied to the skin short-term, when used as an eye drop short-term, and when inserted into the bladder with a catheter by a physician.  "
chromium,"Chromium is  LIKELY SAFE  for most adults when taken by mouth in medicinal amounts, short-term. Up to 1000 mcg per day of chromium has been used safely for up to 6 months.    

Chromium is  POSSIBLY SAFE  for most adults when taken by mouth in medicinal amounts for longer periods of time. Chromium has been used safely in a small number of studies using doses of 200-1000 mcg daily for up to 2 years. Some people experience side effects such as skin irritation, headaches, dizziness, nausea, mood changes and impaired thinking, judgment, and coordination. High doses have been linked to more serious side effects including blood disorders, liver or kidney damage, and other problems. It is not known for sure if chromium is the actual cause of these side effects. 

 "
chrysanthemum,"There isn't enough information to know if chrysanthemum is safe. Chrysanthemum can cause skin to become extra sensitive to the sun. Wear sunblock outside, especially if you are light-skinned.     "
chrysin,Chrysin is  POSSIBLY SAFE  for most adults when taken by  mouth  for up to 8 weeks. No adverse effects have been reported.     
chuchuhuasi,It isn’t known if chuchuhuasi is safe or what the possible side effects might be.  
chymotrypsin,"Chymotrypsin is safe when used in the  eye  by a  healthcare  professional. Chymotrypsin can cause side effects when used in the  eye , including an increase in pressure in the eye and other eye conditions such as uveitis, paralysis of the iris, and keratitis.    It also seems to be safe for most people when taken by mouth to reduce redness and swelling following surgery or injury, and when applied directly to the skin for burns.    Not enough is known about the safety of chymotrypsin for its other uses.    Rarely, chymotrypsin might cause an  allergic reaction  when taken by mouth. Symptoms include  itching , shortness of breath, swelling of the lips or throat, shock, loss of consciousness, and death.  "
ciguatoxins,"Ciguatoxins are  UNSAFE  when taken by mouth. One bite of fish tainted with ciguatoxins can be enough to cause symptoms. The most common symptoms include stomach cramps, nausea, vomiting, and diarrhea. Other symptoms include itching; numbness of lips, tongue, and throat; blurred vision; low blood pressure; slowed heart rate; alternating hot and cold sensations; and coma. In severe cases, shock, muscular paralysis, and death can occur.   
 "
cilantro,"Cilantro is  LIKELY SAFE  when taken by mouth in food amounts. However, some people might experience food allergies after eating cilantro. There is one report of hives, facial swelling, and throat swelling in a man who ate cilantro.   

There is another report of severe diarrhea, stomach pain, darkened skin, depression, lapse of menstruation, and dehydration in a woman who took 200 mL of a 10% cilantro extract for 7 days.   

When cilantro comes in contact with the skin, it can cause hives or itching.   

There isn't enough information to know if cilantro is safe when taken as a medicine. 

 "
cinchona,"Cinchona is  LIKELY SAFE  when used as a flavoring in tonic water and alcoholic beverages.   

Cinchona is  POSSIBLY UNSAFE  when taken by mouth as a medicine. Cinchona products sold as over-the-counter (OTC) medicines are required to carry the warning, “Caution - discontinue use if ringing in the ears, deafness, skin rash, or visual disturbances occur.“ Cinchona contains quinine, which was banned by the U.S. Food and Drug Administration (FDA) from sale over-the-counter for treatment of leg muscle cramps because it caused serious side effects.   

In large amounts, cinchona is  UNSAFE  and can be deadly. Symptoms of overdose include ringing of the ears, headache, nausea, diarrhea, and vision disturbances. Cinchona can also cause bleeding and allergic reactions, including hives and fever.   
 "
cissus-quadrangularis,"Cissus quadrangularis is  POSSIBLY SAFE  when taken by mouth appropriately short-term (for up to 6-10 weeks). Cissus quadrangularis can cause side effects such as headache, intestinal gas, dry mouth, diarrhea, and insomnia. But there is not enough information to know how often these side effects might occur.   

The long-term safety of Cissus quadrangularis is not known.   
 "
citicoline,"Citicoline is  POSSIBLY SAFE  when taken by mouth short-term (up to 90 days). The safety of long-term use is not known. Most people who take citicoline don't experience problematic side effects. But some people can have side effects such as trouble sleeping (insomnia), headache, diarrhea, low or high blood pressure, nausea, blurred vision, chest pains, and others.     "
citronella-oil,"Citronella oil seems to be safe for most people in the small amounts found in foods. It’s  UNSAFE  when taken by  mouth  in large amounts.    Citronella oil seems to be safe for most people when applied to the skin as an insect repellent. However, it might cause skin  allergies  in some people.    It’s  UNSAFE  to inhale citronella oil.  Lung  damage has been reported.  "
civet,Civet is safe for most people when used in the amounts found in foods. But there isn't enough information to know if civet is safe in the larger amounts typically used as medicine.  
clary-sage,Clary sage is safe when used in amounts found in foods. There isn't enough information to know if it is safe when used in medicinal amounts.  
clay,"A type of clay known as  calcium  montmorillonite (NovaSil) is  POSSIBLY SAFE  when taken by  mouth  for a short period of time. This type of clay seems to be safe in doses up to 3 grams daily for 3 months.    Clay is  POSSIBLY UNSAFE  when taken by  mouth  for a long period of time. Eating clay long-term can cause low levels of  potassium  and iron. It might also cause lead poisoning, muscle  weakness , intestinal blockage,  skin  sores, or  breathing problems .  "
clematis,"Fresh clematis is  UNSAFE  to take by  mouth . It can cause  colic ,  diarrhea , and severe irritation to the  stomach ,  intestines , and urinary tract when taken by  mouth .    The fresh plant is also  UNSAFE  when applied to the skin. With extended skin contact, the fresh plant can cause slow-healing  blisters  and burns.    There isn’t enough information to know whether it is safe to take dried clematis by  mouth  or apply the dried plant to the skin.  "
clivers,Clivers is  POSSIBLY SAFE  for most people when taken appropriately by  mouth . There isn’t enough information available to know whether clivers is safe when applied to the skin.     
clove,"Clove is  LIKELY SAFE  for most people when taken by mouth in amounts commonly found in food. Not enough is known about the safety of taking clove by mouth in larger medicinal amounts.    

Clove oil or cream containing clove flower is  POSSIBLY SAFE  when applied directly to the skin. However, application of clove oil in the mouth or on the gums can sometimes cause damage to the gums, tooth pulp, skin, and mucous membranes.   

Inhaling smoke from clove cigarettes or injecting clove oil into the veins is  LIKELY UNSAFE  and can cause side effects such as breathing problems and lung disease.   

Dried clove can also cause mouth sensitivity and irritation, as well as damage to dental tissues.   
 "
clowns-mustard-plant,"Clown's mustard plant seems to be safe for most people when used for up to eight weeks. It can cause side effects in some people, including nausea,  diarrhea , and  skin rashes .  "
club-moss,"Club moss is  POSSIBLY UNSAFE  when taken by  mouth  because it contains several poisonous chemicals. However, so far, no poisonings have been reported.     "
cnidium,There is not enough information about cnidium to know if it is safe.  
coca,"Coca leaf without the cocaine (decocainized) is  LIKELY SAFE  for most people when used in normal food amounts. The cocaine contained in the coca leaf is  LIKELY SAFE  for use on the eye or skin when prescribed and monitored by a medical professional.    Cocaine is  LIKELY UNSAFE  when taken by mouth for medicinal uses and  UNSAFE  when taken by mouth or inhaled for recreational uses. Cocaine is illegal and can cause hyperactivity, restlessness, excitement,  migraine headaches , seizures, strokes,  heart attacks , aneurysms,  high blood pressure , and liver and  kidney failure .     As little as 1/4 of a teaspoon of cocaine can be deadly. Cocaine is highly addictive.     "
cocillana,There isn't enough information to know if cocillana is safe or what the possible side effects might be.  
cocoa,"Eating cocoa is  LIKELY SAFE  for most people. Cocoa contains caffeine and related chemicals. Eating large amounts might cause caffeine-related side effects such as nervousness, increased urination, sleeplessness, and a fast heartbeat.    Cocoa can cause allergic skin reactions, constipation, and might trigger migraine headaches. It can also cause digestive complaints including nausea, intestinal discomfort, stomach rumbling, and gas.    Applying cocoa butter to the skin is also  LIKELY SAFE  for most people. It can, however, cause a rash.      "
coconut,"Coconut is  LIKELY SAFE  when eaten in food amounts. Coconut is  POSSIBLY SAFE  when used as medicine. In some adults and children, eating coconuts might cause an allergic reaction. Symptoms may include skin rashes and difficulty breathing.

 "
coconut-oil,"Coconut oil is  LIKELY SAFE  when applied to the skin. It is also  LIKELY SAFE  when taken by mouth in food amounts. But coconut oil contains a type of fat that can increase cholesterol levels. So people should avoid eating coconut oil in excess. Coconut oil is  POSSIBLY SAFE  when used as a medicine short-term. Taking coconut oil in doses of 10 mL two or three times daily for up to 12 weeks seems to be safe.   
 "
coconut-water,"Coconut water is  LIKELY SAFE  for most adults when consumed as a drink. It might cause fullness or stomach upset in some people. But this is uncommon. In large amounts, coconut water might cause potassium levels in the blood to become too high. This might lead to kidney problems and irregular heartbeat.    

Coconut water is  POSSIBLY SAFE  for children. 

"
cod-liver-oil,"Cod liver oil is  LIKELY SAFE  for most adults and children when taken by mouth. It can cause side effects including belching, bad breath, heartburn, loose stools, and nausea. Taking cod liver oil with meals can often decrease these side effects.   

High doses of cod liver oil are  POSSIBLY UNSAFE . They might keep blood from clotting and can increase the chance of bleeding. Vitamin A and vitamin D levels might also become too high with high doses of cod liver oil.   

The safety of cod liver oil when used on the skin is unknown.

 "
codonopsis,Codonopsis is  POSSIBLY SAFE  for most people when taken by  mouth  in appropriate amounts.     
coenzyme-q10,"Coenzyme Q10 is  LIKELY SAFE  for most adults when taken by mouth or when applied directly to the gums. While most people tolerate coenzyme Q10 well, it can cause some mild side effects including stomach upset, loss of appetite, nausea, vomiting, and diarrhea. It can cause allergic skin rashes in some people. It also might lower blood pressure, so check your blood pressure carefully if you have very low blood pressure. Dividing the total daily dose by taking smaller amounts 2 or 3 times a day instead of a large amount all at once can help reduce side effects.   

Coenzyme Q10 is  POSSIBLY SAFE  for children when taken by mouth. However, coenzyme Q-10 should not be used in children without medical supervision.    
 "
coffee,"Coffee is safe for most adults. Drinking more than 6 cups/day might cause ""caffeinism"" with symptoms such as anxiety or agitation. People who drink a lot of coffee every day may need to drink more coffee to get the same effects. They may also become ""dependent"" on coffee to the point that they develop withdrawal symptoms if they suddenly stop drinking it.   

Coffee containing caffeine can cause insomnia, nervousness and restlessness, stomach upset, nausea and vomiting, increased heart and breathing rate, and other side effects. Consuming large amounts of coffee might also cause headache, anxiety, agitation, ringing in the ears, and irregular heartbeats.   

Drinking unfiltered coffee can increase total cholesterol, low-density lipoprotein (LDL), and levels of another type of blood fat called triglycerides. This might increase the risk of developing heart disease. Using coffee filters helps to reduce these effects on cholesterol.   

There is some concern that drinking more than 5 cups of coffee per day might not be safe for people with heart disease. But for people who don't have heart disease, drinking several cups daily does not seem to increase the chance of developing a heart problem.   

There is also concern that occasional coffee drinking might trigger a heart attack in some people. People who usually don't drink more than one cup of coffee daily and also have multiple risk factors for heart disease seem to have an increased risk for heart attack within an hour after drinking coffee. But people who regularly drink greater amounts do not seem to have this risk.   

There is some concern that drinking coffee might increase the risk of some types of cancers. However, there is no good evidence that coffee increases the risk of any type of cancer. Scientists continue to look at this.    

Coffee might be unsafe when given rectally as an enema. Coffee enemas have been linked to cases of severe side effects including death.

 "
coffee-charcoal,Coffee charcoal seems to be safe for most people.  
cola-nut,"Cola nut is  LIKELY SAFE  for most people when consumed in amounts found in foods.    Cola nut is  POSSIBLY SAFE  when taken by mouth in medicinal amounts, short-term. The caffeine in cola nut can cause insomnia, nervousness and restlessness, stomach irritation,  nausea and vomiting , increased heart rate and respiration, and other side effects.    When cola nut is used medicinally in larger amounts or for a long period of time, it is  POSSIBLY UNSAFE . Chewing cola nut is associated with an increased risk of mouth cancer and gastrointestinal cancer. Also, due to its caffeine content, large amounts of cola nut might cause headache, anxiety, agitation,  ringing in the ears , and irregular heartbeats. Stopping the use of caffeine suddenly can sometimes result in headaches, irritation, nervousness, anxiety, and dizziness.    Taking cola nut by mouth in very large doses is  LIKELY UNSAFE  due to its caffeine content. Very high doses of caffeine can cause death. The fatal dose is estimated to be about 10-14 grams; that’s 150-200 mg of caffeine per kilogram of body weight.     "
coleus,"Coleus is  POSSIBLY SAFE  for most adults when given intravenously (by IV), when inhaled (breathed in), or when applied as eye drops. However, there can be some side effects. When given by IV, coleus can cause flushing and low blood pressure. When inhaled, coleus can cause throat irritation, cough, tremor, and restlessness. Eye drops containing coleus can cause stinging.     "
